100000 100000
1 36298 72499
1 63690 12924
3 33181 46842
3 85400 64423
3 34790 62015
2 29706 73905
2 94142 45211
2 19279 90569
3 23713 82937
3 72814 60679
1 91233 74487
1 80969 81516
2 61310 12559
3 67982 49382
3 48785 54487
2 45709 14105
3 41332 26673
1 77019 57630
2 13044 50632
1 36581 21287
3 74653 74891
1 5198 98810
3 27050 445
1 74383 47331
2 18573 96702
3 98303 9459
3 90801 82232
3 46715 72093
1 89450 19466
1 25859 62192
2 71243 56489
1 92193 49891
2 32710 4690
3 55695 69349
2 42056 20605
3 22411 82098
3 43652 65060
2 52915 11262
2 71558 38404
3 73685 51949
3 71778 99189
3 62680 15749
2 45728 45074
1 7260 55132
3 29084 82567
3 68005 40299
1 64329 53133
2 41791 38637
2 8442 88739
2 20043 29349
2 58225 9064
2 87768 51472
2 61761 37807
3 50952 64217
2 69105 1829
2 74196 83259
3 24227 29809
3 44190 61659
1 15880 61013
2 65775 24353
2 92739 86249
2 17165 90220
3 98771 55566
3 56946 27471
3 90251 36532
1 39668 56769
1 50526 57175
3 71227 74262
1 99870 68579
2 38308 88141
3 47989 13543
2 23167 8294
3 64576 90220
1 29561 53957
2 79704 58593
3 67563 83834
1 77787 65414
2 43389 40248
2 25285 7441
1 38109 75608
1 8585 30754
3 99437 36519
1 47163 94673
1 443 88176
2 48883 87176
2 62181 24032
1 69299 62016
1 33553 54418
1 59261 35140
2 75687 51367
1 43816 76950
3 84397 32817
1 45456 63968
2 26103 92184
1 30387 69883
1 92336 76775
3 70503 65136
3 29873 69090
3 12175 91743
2 70925 70496
2 46752 44235
3 77104 319
2 72713 31931
1 8624 56933
3 35429 72254
2 44378 41310
3 33828 64309
3 45515 64995
1 32762 25581
1 84924 86504
3 28141 9294
2 83682 74714
3 2938 13364
2 79752 14130
3 82238 7001
2 25051 46971
3 20983 89210
3 34048 51417
1 35276 29152
1 76603 41994
3 70701 65086
1 87466 77915
3 50335 13165
3 38432 56894
1 480 46250
1 88811 97010
3 4131 72856
3 49131 96603
2 15566 17571
1 6086 17744
2 41413 46047
3 61086 38125
2 64021 16899
3 64183 80966
2 66747 30575
3 14556 21839
1 47874 86685
1 55391 40143
3 78385 66321
1 15588 2187
3 81130 17864
1 24591 86058
2 9930 57767
1 50778 82646
2 93472 6197
3 29583 29506
3 87460 62746
1 63264 70501
3 43345 24360
2 84630 42954
1 6989 50747
1 25033 40283
3 63094 68713
2 11887 10164
1 61565 75376
3 4758 94769
1 78909 77795
1 29803 78746
2 90891 95177
1 17354 89783
1 82160 23786
1 72218 69920
3 20374 60577
2 71677 67762
1 52283 17306
3 86711 73454
1 80171 69501
3 65579 97331
2 8264 52166
2 57617 14202
2 69364 94379
3 71714 86230
3 34315 1674
3 36913 9300
2 3272 40029
2 15085 17657
2 5371 66927
1 24454 70962
1 48634 3539
2 36110 28695
3 36373 86924
1 87701 9045
3 79974 36817
3 41101 20214
2 22577 44922
3 33557 62268
2 39276 68156
2 12187 73395
3 13681 87956
3 70002 42559
1 42796 75437
2 83467 79854
2 82546 95813
1 48663 11606
1 2049 46353
2 67218 16594
3 1214 11937
2 16425 77379
2 77630 3972
3 45828 45922
1 19868 91204
2 71108 20906
1 43836 33220
3 14027 36424
3 70208 17694
1 77689 15813
2 84077 91774
3 3954 96195
1 90152 93032
3 79464 2939
1 9945 68757
2 12525 16636
1 76975 71438
2 69808 32
3 52298 15482
3 70789 89212
1 13988 44091
2 35266 52014
1 2926 36055
1 54621 31399
3 56253 97495
1 91410 5312
3 54940 67989
3 22827 33598
3 57808 85760
2 78021 52350
3 27381 88165
1 48156 99417
1 87562 52244
2 57350 73919
2 99697 6653
3 17829 74041
1 82768 90553
2 32116 97574
1 31075 37731
2 9153 88461
1 39236 75936
1 35421 98204
1 51152 72312
1 51010 31895
3 85393 79626
3 6520 76862
3 29527 86905
2 73392 16949
2 33028 74243
1 74356 97839
2 616 45031
3 40866 40579
3 54080 11884
1 73939 54640
1 54269 37359
3 19797 27217
1 42515 18574
1 64282 66182
3 11518 21411
1 7242 27278
3 17774 48879
3 65129 80939
1 5084 57320
2 94105 52393
3 20556 88548
1 94577 49368
2 93288 485
3 64165 50359
1 14055 24977
1 72167 75952
3 71205 12577
3 21950 84680
2 4377 22623
2 88243 33357
3 11769 76840
3 87140 68359
2 10513 31042
1 76604 44684
3 35110 15685
2 88470 46867
1 48138 63306
2 73479 35785
1 40148 26781
1 17983 29570
3 57437 75367
2 64453 73466
2 38641 38075
2 17831 3849
2 82426 31263
1 16711 8347
2 39401 14920
2 81184 78077
1 50604 23761
1 71203 4039
3 83078 80794
2 80937 97571
2 4479 18611
3 46103 21905
3 95171 18490
1 98229 41081
1 41015 63904
1 47340 89490
1 28431 53474
2 99067 42585
3 55400 86894
3 13810 40517
1 59370 64219
3 57899 94098
3 38534 97943
3 74889 14260
2 14309 44598
2 4457 73924
2 83780 59860
3 12366 27210
2 37694 92157
1 82201 56144
3 63711 85524
3 64684 98631
3 56394 60303
1 56253 7181
2 80964 913
2 70115 25318
3 78413 7358
3 79658 67071
2 95948 97102
3 41515 41891
2 94793 68667
2 10857 67036
1 59047 75761
3 91674 95544
2 55644 40067
3 80649 71561
1 99531 67083
2 92503 58661
3 44559 99706
1 60392 84530
3 28914 19328
3 17619 94787
2 68471 84477
2 52448 67315
3 48 59358
3 30832 92171
3 89410 67162
3 19197 60123
1 26013 83232
2 7867 72385
1 25845 38108
2 50159 638
3 83451 27113
2 55940 97256
3 56711 53015
2 81994 56053
3 69911 76286
2 11517 21798
3 99677 72648
1 99500 50172
2 68061 85014
1 20908 44492
2 72254 72230
3 88910 1522
2 12776 1559
1 4957 15784
3 92024 49679
3 52038 28276
3 45392 96993
1 98056 13308
2 50405 77014
2 74692 28562
2 27686 76286
3 64097 45213
3 13766 61921
1 54464 76847
1 27983 96812
3 29922 59444
1 54263 71000
1 34404 42651
3 8337 73214
3 25501 1325
1 8402 16807
1 39639 64145
2 14609 1294
2 94820 47069
1 29647 51793
2 52146 85918
3 69144 94169
2 58971 76667
3 71479 92488
3 21631 41613
1 49427 10623
1 34435 73102
3 66781 71225
1 60480 60853
2 84367 72009
1 30264 28427
1 93014 19138
2 70108 93585
2 12621 31586
1 37411 98420
3 75674 75908
3 88653 27357
1 78286 90820
2 9286 26327
1 38297 62351
1 74962 33737
3 49679 6474
2 92923 57194
3 60678 147
3 60626 53733
1 24105 17774
1 16439 12715
2 92744 76199
1 35595 29734
3 92005 96804
3 15970 15895
3 53445 75134
2 4657 83776
1 112 49057
3 94276 26380
2 66841 76163
2 87267 87101
2 3699 10529
3 22953 11895
3 72085 80553
3 69019 70923
3 62336 2715
3 77530 78192
1 76875 18413
3 90223 20914
1 44955 70018
3 8164 80522
2 730 93629
1 23382 32067
1 22813 77491
1 58852 49371
3 27487 34984
3 27904 15245
2 86728 29008
3 93488 69617
3 87751 17767
3 76525 10272
2 57388 40523
2 52241 55178
3 47659 86289
3 39512 90814
2 1140 76431
3 58787 60190
3 67856 13140
2 15665 78743
2 1788 32382
1 7256 17191
1 70488 68064
1 3836 39305
3 39261 63502
1 35035 12296
1 21570 1272
3 33401 45414
1 44412 60812
2 40296 71881
1 21864 86305
2 2795 77488
1 66432 61161
1 52377 47571
1 46780 75014
2 23640 80021
2 56518 86355
3 28881 77876
1 34606 73970
1 65466 99690
3 32563 61925
2 82467 5014
1 64701 25124
2 80311 41810
1 79697 66432
3 97835 59641
2 54889 37955
1 3290 52553
2 51066 36284
3 2126 36305
2 50988 50535
2 60509 20174
3 95620 56115
1 38645 73444
1 36072 88313
1 20702 1382
2 91525 57686
3 31947 3077
2 59711 92706
3 88472 62498
1 5127 53730
1 17584 5291
1 81578 85955
3 18791 10265
1 94546 74625
1 27319 97015
1 75641 46052
3 73861 44700
2 50858 37318
1 79638 74252
3 22636 34138
2 69078 30849
3 15715 88009
2 11339 45441
1 88906 88805
3 53784 84312
2 8773 27337
1 89398 51990
1 61240 28320
2 98520 10942
1 32390 39036
3 99592 14602
2 30880 37413
1 91900 22673
1 58656 59805
3 16988 58599
2 53754 98263
1 89402 15422
2 86080 48532
3 19992 19696
1 45919 98775
2 68918 91601
2 43487 91121
2 54056 83378
1 48119 71235
3 98277 32234
3 39127 4547
2 4845 32176
1 19112 575
2 8941 52331
3 8119 93356
1 24019 69155
2 25418 64385
3 96552 1932
3 12393 80829
2 82105 5541
2 14013 38222
3 8656 15222
3 24243 3440
3 51676 28523
2 52118 22999
2 62416 74362
1 94211 2304
2 59108 73577
2 69800 45162
3 10806 46295
3 57723 52361
2 14201 55356
1 58701 72442
1 39566 56762
1 63005 40299
3 44659 59193
1 18513 75633
1 125 2187
3 82596 41049
1 42594 7190
1 32352 69962
2 16060 98470
1 6862 92185
2 62214 72687
3 54026 91479
2 24661 76172
2 15089 37908
1 58551 25964
1 84836 81961
3 46422 89695
1 97643 37714
2 79883 57177
3 26344 42064
2 29396 46153
3 59826 73914
3 70908 96668
1 56344 94558
2 57400 97401
1 85159 65065
1 19650 82406
3 91776 10500
3 24366 3447
2 32890 36878
1 66319 81852
3 3952 81075
3 48369 36169
2 35956 91417
1 96910 87156
3 68739 45832
3 20215 91129
2 38210 13419
3 7712 12869
3 46592 81774
2 74655 42117
1 51741 68916
3 95611 24243
2 33656 92588
3 12465 18660
2 21651 8254
1 7380 46188
1 35248 85991
3 50283 65997
2 58307 93930
2 18814 56015
1 51652 31742
2 79559 69946
1 39141 19069
3 32989 74830
2 17398 52013
1 3226 34075
2 22712 57276
2 61769 10470
1 46751 2805
1 47280 39377
1 16240 52767
3 94778 25512
1 28891 97158
2 12318 24552
3 4933 23248
3 9714 32651
3 85241 18349
2 60617 30398
2 62962 85576
1 91520 9536
2 51067 62104
3 69672 31234
1 32305 13039
1 45682 16834
2 19481 66704
1 25723 3594
1 91085 7282
2 39108 91419
2 84772 29847
1 84631 92515
2 97040 33261
3 78994 17461
3 99271 35123
2 8433 47608
2 33038 65490
2 75915 94384
3 45112 63299
1 85857 4728
2 54447 76087
3 70268 43550
3 40231 43300
3 3095 14745
3 69872 7931
2 57927 66781
2 5851 97620
3 14715 2735
2 94597 56695
1 37604 57790
2 63125 39056
3 62375 18614
3 96932 38881
2 54003 34463
3 36318 16063
3 27100 34649
3 61651 88030
3 57709 90970
2 45395 27728
2 76087 8239
1 55478 76703
1 84182 29290
3 49899 38107
2 9003 17296
1 1917 86994
2 87574 89813
1 85203 64238
2 223 97094
1 52939 16085
2 84926 14434
2 87366 97640
3 87530 29816
2 16088 16703
2 24614 68230
1 20802 78953
1 32025 43558
1 17841 80190
2 52856 36867
3 88691 81273
3 69753 9169
3 47482 73111
1 53925 79190
3 34460 72169
3 23209 38452
3 14293 77704
3 6144 74949
2 36222 77654
3 39977 30005
3 33326 45360
2 5979 96942
1 41858 29954
1 66278 61485
1 76475 44873
2 77305 14021
1 42797 93257
3 43458 88949
1 65897 56190
2 49812 64634
1 57555 47781
2 41926 794
3 28667 41949
2 52489 22335
1 4389 89141
2 52314 90042
1 91282 20978
1 17562 45697
1 14184 95022
3 38999 13541
3 97215 27561
1 20952 67163
3 18167 59690
1 3051 49437
1 57238 11623
1 81148 37098
3 8758 36915
2 70356 43905
1 77780 87647
3 90098 45571
3 87594 25800
1 66791 34080
2 62777 39766
2 97328 16261
3 39338 43137
3 25785 17615
1 98456 60550
1 50984 50184
3 7617 18960
1 75811 94287
2 78186 9886
3 80727 51636
1 85448 34247
3 51189 72189
3 35112 35752
1 52645 62364
2 21860 87513
1 43345 24143
2 12713 66880
3 86258 5184
2 85730 1111
3 83734 73005
1 358 31296
2 96258 54836
2 39740 76789
1 37441 57041
1 33142 22577
3 82914 73145
1 60728 4114
2 73470 40822
3 15726 69100
3 61079 82782
2 19442 409
1 46932 75677
2 55265 38508
2 20998 5189
3 76930 52099
2 80084 73824
2 44788 7657
3 13560 54253
2 38832 57135
1 99679 61564
3 42502 36440
1 2998 43081
3 40343 12700
3 42492 45238
1 85085 45984
2 97979 50725
2 23284 44194
3 68350 78224
2 91612 38995
2 88275 35747
2 92169 90942
3 59352 37287
1 96127 76642
2 50073 9197
2 4605 33874
2 93518 35982
3 5283 18137
2 50 49699
3 2843 15552
3 90961 43830
2 34416 73080
3 9373 69409
2 29202 95842
1 45751 90558
3 22883 35831
2 98035 59344
1 20990 58384
2 18082 77929
3 88305 39340
3 32560 32725
3 80401 20211
2 88381 42448
3 44707 67294
3 6795 29471
3 26031 25114
2 82919 32678
1 81863 95952
2 58804 10007
3 40138 61633
2 33625 53860
3 53634 8174
3 30734 12
2 47709 71469
1 86114 43874
3 49493 83053
3 16997 63167
2 42179 47498
2 40414 75030
2 58798 69456
2 28742 84329
3 85794 13217
3 52296 73048
3 74123 38953
2 18908 35197
3 52402 78910
1 51994 41472
1 88741 94196
3 47402 86594
3 73599 23372
2 86523 5172
1 40634 65136
1 85175 49826
2 59584 20990
3 27730 51118
2 52874 3466
2 88714 75417
3 34789 47247
1 40387 75101
3 11753 4111
2 79894 25338
1 69356 1308
2 60361 81176
2 71300 8738
3 93921 55343
3 56120 24811
1 71993 54129
3 27269 9861
2 30107 67663
1 98053 92344
1 35270 81498
3 33774 78570
1 21077 96476
1 58647 70879
2 44087 39457
3 27903 62878
1 78015 24540
1 81981 99322
2 56910 12011
2 46586 12992
3 82105 94541
3 18066 20553
2 40205 13984
1 37611 37866
2 57163 73305
1 26342 31651
1 55093 76630
3 88808 2168
3 4842 56110
1 24642 95613
2 51308 73542
1 54641 34833
3 206 24323
3 56600 28214
1 33653 33464
2 5427 63162
3 77658 76581
3 5051 68891
1 1695 92514
3 99507 31984
2 55649 15838
3 22104 80403
2 33173 17031
1 67281 55867
3 17122 31996
2 9441 14513
3 42896 86515
3 33118 63782
2 24840 50554
1 24298 45974
2 37155 32047
2 17725 48590
1 25707 20012
1 98267 7562
3 83061 52737
1 64361 57248
1 59285 13535
2 19730 30472
1 2859 52771
3 55927 66003
2 30584 64967
1 78927 23891
1 39580 99850
1 85599 79316
1 84419 72587
3 52895 25263
2 57512 71086
2 28315 16764
3 22568 3283
3 92452 52052
3 32921 42260
1 17584 80259
3 59669 14309
2 74774 73307
3 41205 44145
1 2233 53032
3 38360 3446
2 1333 59114
2 3632 32760
1 52665 26397
2 68955 36939
3 7165 33625
1 9761 57349
1 32720 1520
1 96429 21645
2 55734 33525
1 60711 76345
3 94374 58889
3 49689 17224
2 36319 66155
2 43183 38423
3 47610 22476
1 30907 42617
2 92982 81470
1 29372 47355
1 76345 4479
2 56434 19742
2 27005 30473
2 88682 31687
2 19192 39196
3 4368 67237
3 59517 69861
2 78309 18936
1 67483 39224
2 86788 25277
3 23114 93069
2 99627 94310
3 33828 45760
3 32588 61761
3 1324 30024
3 17242 8216
1 65780 17957
3 92876 9188
1 62006 59188
3 89342 18248
3 81755 74236
3 55304 41204
2 24801 5839
2 37342 7465
2 19558 37072
3 85273 65956
3 86503 14845
3 14294 94492
3 42127 15723
3 25309 59341
2 8391 61921
3 52507 93164
1 4404 19942
1 70370 75967
2 49878 39199
1 57882 67582
1 13436 44006
2 50415 17371
2 38278 51878
2 81674 17165
1 44921 74929
3 19574 63414
1 38818 48681
1 43768 4017
1 20724 42785
3 52448 8527
2 29364 56876
3 13476 82363
1 59583 13078
1 38989 87270
2 14573 1503
2 70320 37046
1 29587 14176
3 9147 4553
3 69357 38448
2 99726 46673
2 34300 77875
1 50552 3383
1 77681 88692
2 23955 36845
3 75979 20016
3 96161 2346
1 82530 80562
1 64947 92438
3 82803 13533
3 52070 15658
2 10036 78292
3 69202 15507
3 38531 98853
2 36381 38153
2 9454 59472
2 7261 72679
1 12172 77533
1 99104 68891
3 28800 51145
2 48520 97033
2 4532 47606
2 78614 84079
1 72679 52459
2 9769 70109
3 42069 74504
1 3857 38741
1 21656 13299
3 69352 16665
1 63731 37126
1 54839 51884
1 48991 36021
1 93746 23080
2 77779 35893
1 53187 50285
2 80103 69930
2 92092 41493
3 17452 5598
2 68289 17615
3 63453 30340
3 59492 2316
3 44732 48261
3 53895 82805
1 35689 57903
2 46266 54962
2 85188 39215
1 66599 21983
1 64585 54901
2 4910 24064
3 41813 45471
1 23234 60789
3 83096 45147
3 8352 33837
1 76094 73909
3 88078 15896
3 43662 36556
1 16592 40682
3 60372 33793
1 48481 88612
3 48472 40440
2 37492 46216
3 31041 15862
2 89619 72768
3 11119 27752
2 45483 87083
2 37867 30268
2 99919 51115
3 76756 46545
3 11316 91005
1 45180 53294
2 8117 25242
1 29597 52031
2 67715 1479
3 21178 92557
3 83152 88568
3 85377 7741
2 26305 60153
2 8919 58841
3 15070 72737
1 84555 63906
1 31238 13015
2 98628 80334
2 90902 95738
2 70848 13513
1 13128 75855
3 4937 96123
1 93712 83080
2 22420 79288
2 94170 94841
1 80645 52792
1 6856 59211
2 94488 56422
3 63391 5949
1 84450 56277
3 9927 91439
1 62990 998
3 9083 58130
2 79967 47452
2 44197 87098
1 5090 52637
3 98132 50672
2 20092 85809
3 75480 20137
1 96145 11264
2 54663 45369
2 69445 10223
3 68479 95276
2 4352 90931
1 41494 39002
3 44175 30391
2 38880 22108
2 11414 23351
1 20726 43454
3 96534 68435
1 50085 13910
1 16896 87124
2 10896 61260
1 58599 22057
3 85940 74328
1 72274 79678
2 16231 8016
2 92941 62374
3 92409 16380
1 76579 81282
3 56747 78347
3 93983 71089
2 96251 49196
1 352 95156
3 35416 24112
3 52699 45289
2 84138 79583
3 17027 8887
2 18768 83857
3 36003 90063
1 6258 47562
3 34799 6980
2 21924 54210
1 57709 56751
1 42121 63656
3 47796 52729
3 97549 96636
2 515 92570
2 1938 69943
2 56627 57874
3 13660 67323
2 93328 2981
2 80106 92066
1 41307 84676
1 65866 96067
3 25352 45288
1 1174 82544
3 21582 51794
2 71142 7040
1 13593 95526
2 37026 20027
3 56148 47399
2 97892 77314
3 14029 43616
1 78745 21622
1 66187 48423
3 32133 41377
1 15155 83891
3 7142 58449
2 92161 60229
3 64159 290
1 29647 51399
3 86998 72903
3 27817 91570
2 81573 21856
1 20482 45730
3 42764 75445
3 32877 13286
3 78898 90113
2 33962 88549
1 50207 89487
3 33210 61478
3 99633 43934
1 60692 3579
3 26145 74481
1 69822 82108
2 54810 96806
2 11593 72597
2 39805 67678
3 7186 75423
2 33579 1806
2 20981 27544
1 51052 77032
3 19461 8650
1 92627 18453
2 29174 66337
3 5293 5688
3 11700 22649
1 25162 18933
1 32932 74269
2 32806 35076
2 76302 22020
1 76829 32015
2 23461 97691
3 13486 11545
2 61178 80578
1 65431 13923
3 35023 87208
2 58260 21170
2 31409 47143
3 16144 41514
2 84671 83100
1 38350 23165
1 97164 58910
3 40793 80861
3 99884 84600
2 62636 4718
2 90010 14053
1 88705 33359
1 30467 92832
1 37649 94607
3 74564 59141
3 85364 17187
2 16068 77819
1 28000 30896
1 46458 21880
2 37685 30633
2 91421 46844
3 15333 26084
2 67875 39681
1 20765 45832
1 18976 97099
3 25983 31770
1 61459 2410
2 67708 78106
3 1970 95752
1 62170 39608
1 31395 19730
3 70230 9521
3 8439 64727
1 52053 46736
3 12637 29167
2 27947 85745
2 64628 92494
3 64181 9008
2 48971 16757
1 13543 31008
3 70318 81286
1 35175 2297
1 70400 88764
2 3347 25475
1 6255 87584
3 15170 31796
1 50991 43783
2 58417 93417
3 27438 54073
3 74261 39579
2 87389 42872
2 69200 30354
3 31723 41758
1 19564 4444
1 58372 24356
3 5230 39935
1 18134 24153
2 38190 11652
2 40093 42955
2 70148 87420
1 88590 51197
2 97308 45419
1 99491 46887
2 2371 41683
1 74865 14473
1 31218 92092
1 71133 39442
2 65358 40653
2 77893 15924
2 61295 98638
2 37018 46360
1 27204 24786
1 50265 70936
2 5317 17931
3 90984 30750
2 65555 98670
2 18858 72837
2 77880 24319
1 77968 82815
2 11638 51725
2 14012 72830
3 71948 34438
2 1308 75835
3 40761 35841
1 26937 21861
2 18386 71122
3 8971 19458
3 11887 60762
2 16236 16542
2 14801 74258
3 39639 96154
3 35132 13404
3 85589 74789
3 98405 95073
1 44405 27333
1 45725 91728
2 74173 84428
1 81779 5564
2 58371 44161
1 44196 79243
2 72491 78733
3 4647 80830
1 79551 89409
1 62865 23721
2 49604 10233
1 53156 56950
3 81790 27981
2 83629 45623
3 77709 3239
2 19529 77624
1 47787 59345
2 59992 86567
2 32660 68176
1 69441 40130
3 96926 46464
2 50038 8193
1 13608 63476
2 85808 1452
2 20470 44719
1 37156 42934
3 72301 56885
2 55714 20772
3 78185 69503
2 31026 25000
1 29919 5509
2 71845 33240
3 49021 2192
1 76974 18404
1 6767 99159
2 47215 27125
2 18214 57559
2 8004 11248
2 74560 11371
1 35894 84572
3 9652 58002
1 37142 98128
2 43143 59265
2 81947 65129
1 13588 51317
2 95450 3663
2 68490 53406
2 17446 5182
3 22640 12778
1 96926 96970
2 23528 83943
2 49392 67674
2 1388 99403
2 11936 39654
2 10841 9241
1 83078 65323
3 22619 38440
2 62992 26339
3 41094 71058
3 823 40383
3 68900 55117
3 63090 81735
2 77648 46663
2 55076 1390
1 46532 59087
2 43922 4055
2 57905 6090
2 10024 85629
1 27764 8887
3 35668 5314
1 40138 30180
1 47286 723
2 46774 61720
3 2387 99810
2 87358 38883
2 49338 87850
2 73932 48519
3 1292 10204
1 73171 36264
3 60294 60636
2 75513 98759
1 37238 93544
2 20012 66122
2 81694 1360
2 54485 51375
2 68031 75514
2 24841 33469
2 29266 50749
2 78330 81896
2 94313 52556
2 41038 60104
2 6199 28745
3 49764 29308
2 3809 34888
1 24379 47380
3 65445 83701
1 22013 2522
3 54561 5506
3 63614 18659
3 68555 18005
2 78799 60574
1 40748 3571
3 92550 80843
1 34625 20812
2 99881 97373
3 90668 72247
1 63573 37372
3 47464 40178
2 58536 81739
1 91936 58335
1 54481 8694
1 10082 88594
1 73030 24611
3 34456 20704
1 81759 94600
2 46318 49475
1 69696 7765
1 67047 13303
2 51485 31989
1 92263 14641
3 33307 74534
3 79491 11
3 75179 88559
1 394 76649
1 95056 23496
3 72755 65414
3 24415 75458
1 69335 14034
1 50232 56971
2 60488 66190
1 96284 99400
2 8420 80493
1 21227 79970
1 80817 88955
1 56075 9148
1 63376 73859
1 52986 88339
2 15160 36777
3 28927 87429
3 19536 68013
2 85601 32382
2 33711 61044
3 35416 52822
3 9404 33390
1 31818 59395
1 39198 13174
1 66268 46861
2 78674 85811
2 45152 64761
1 25586 65536
2 24470 53399
3 92862 46970
2 83601 24978
2 11188 94010
1 54508 72167
3 92794 59441
1 11009 3166
3 3300 71381
2 12625 92314
2 50317 36239
3 11756 75774
3 68418 91941
3 96719 55615
3 20442 85307
2 97697 71918
3 8269 51401
3 44701 54856
3 95827 34951
3 39072 85462
1 87612 93490
1 99757 35749
2 91036 29637
2 75160 49219
1 11478 30369
3 20539 59409
3 85147 10964
1 73271 11457
3 13667 73625
3 24555 50541
1 41256 87047
3 87190 51689
3 18766 64315
3 54456 91459
3 38890 3540
3 17421 82441
2 7511 1408
1 2298 5005
3 97198 72996
1 76151 41355
3 89681 99313
3 56914 16392
3 5071 76506
3 25613 73112
3 19604 43203
2 10234 67736
3 46451 2898
2 67863 84228
3 73889 15374
2 95986 5218
2 77717 35416
3 44956 61355
2 18470 40958
3 10980 65400
1 45532 33358
2 32192 45180
2 62677 91363
3 45843 30886
1 53269 89713
1 2911 20280
2 69183 74832
2 70604 84171
1 57533 61504
3 9601 53513
3 9782 18817
3 46105 700
1 47451 26971
2 41971 14884
2 78227 43643
1 12460 33710
1 76733 19929
1 974 207
3 94256 17408
3 29670 68759
1 96747 74887
1 92084 41913
1 16986 39374
3 8129 90945
3 39464 73181
3 24463 48717
2 42062 35059
3 18038 87984
1 82387 31359
1 2912 51699
3 34574 30701
1 44821 74955
2 80055 91574
3 6022 21471
2 69741 31312
2 41082 74737
3 66269 2468
3 60190 23288
1 81751 2404
2 29565 30601
1 32846 2866
1 84560 20301
1 99577 45175
1 89206 84655
1 66166 41879
2 40243 95368
1 18329 92930
1 65977 17843
2 51109 79534
3 67668 82366
2 91771 50430
1 97384 223
2 1525 4853
2 66479 78513
3 28537 39234
2 95179 6841
2 25719 5018
1 77839 41732
1 25810 58903
2 76809 42428
1 95937 48084
1 32432 57065
3 35783 37613
2 18331 99173
1 79880 26976
1 89379 86244
1 46824 56558
1 22779 24270
3 18644 49564
2 84488 35711
3 30880 70049
1 86819 42774
2 29586 50415
3 81939 52956
3 96326 35007
1 54140 92759
2 95263 3301
2 97961 35104
2 51957 97592
2 75389 84118
1 65313 87692
2 24804 5310
3 32916 23991
3 77970 50239
1 76403 47171
3 32010 76428
2 2492 31418
3 27626 30817
1 64761 1851
1 64734 7322
1 94873 87703
2 76620 87683
2 46825 44611
3 31139 918
1 97247 78997
2 80487 27547
1 15385 64973
2 60085 93414
1 2045 47329
2 95182 90607
2 42183 98744
1 56790 48755
1 88337 88147
3 76237 93821
3 8281 15232
2 43300 87549
3 22160 12311
3 20861 60127
1 63506 52679
3 14571 25488
1 30069 42862
3 65374 41264
2 39859 67317
3 32904 98952
1 44439 84861
2 83331 51561
1 18728 830
3 53442 87815
3 78970 19039
1 2220 97790
